<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.AAPL,D,20200805,000000,438.7500000,442.9100000,435.5900000,439.8800000,7182143
SPBEX.AAPL,D,20200806,000000,439.9500000,457.6500000,437.5400000,455.6400000,10662744
SPBEX.AAPL,D,20200807,000000,455.6400000,456.9900000,441.1500000,445.0200000,10888161
SPBEX.AAPL,D,20200808,000000,445.2000000,447.0000000,445.0700000,445.8700000,27775
SPBEX.AAPL,D,20200810,000000,445.8700000,455.1000000,440.0000000,450.8600000,11102867
SPBEX.AAPL,D,20200811,000000,451.0000000,454.3700000,436.4400000,439.9000000,11458533
SPBEX.AAPL,D,20200812,000000,439.9000000,453.1000000,439.1000000,452.0600000,9780987
SPBEX.AAPL,D,20200813,000000,452.0600000,464.1600000,450.0000000,459.8500000,10154761
SPBEX.AAPL,D,20200814,000000,459.9400000,461.7500000,452.1800000,459.2000000,8140268
SPBEX.AAPL,D,20200815,000000,459.2400000,459.5200000,459.1500000,459.4900000,5608
SPBEX.AAPL,D,20200817,000000,460.3500000,464.4900000,455.8500000,458.5700000,7533669
SPBEX.AAPL,D,20200818,000000,458.6200000,464.0000000,456.0400000,462.6000000,6389905
SPBEX.AAPL,D,20200819,000000,462.3500000,468.6500000,456.5000000,463.8400000,8774206
SPBEX.AAPL,D,20200820,000000,463.8400000,474.7500000,460.8100000,474.5200000,7469066
SPBEX.AAPL,D,20200821,000000,474.5000000,499.4700000,474.0000000,498.8600000,18485123
SPBEX.AAPL,D,20200822,000000,498.8000000,498.9000000,498.1000000,498.6200000,30013
SPBEX.AAPL,D,20200824,000000,510.5000000,515.6000000,489.1600000,504.8500000,19033519
SPBEX.AAPL,D,20200825,000000,504.8500000,516.4900000,492.2100000,499.7000000,11000925
SPBEX.AAPL,D,20200826,000000,499.7500000,507.9800000,498.5000000,506.7000000,9382577
SPBEX.AAPL,D,20200827,000000,506.7000000,509.9400000,495.3500000,500.3100000,10295959
SPBEX.AAPL,D,20200828,000000,500.7300000,505.7500000,498.3100000,499.9000000,15259129
SPBEX.AAPL,D,20200829,000000,499.9000000,501.2500000,499.5600000,501.1900000,37566
SPBEX.AAPL,D,20200831,000000,125.8000000,131.0000000,125.0200000,129.0500000,56279226
SPBEX.AAPL,D,20200901,000000,129.0400000,134.8000000,129.0100000,134.4500000,35612359
SPBEX.AAPL,D,20200902,000000,134.4500000,138.5500000,127.0000000,131.4000000,47199049
SPBEX.AAPL,D,20200903,000000,131.4000000,135.3100000,120.0700000,121.4000000,64855658
SPBEX.AAPL,D,20200904,000000,121.3500000,123.7000000,110.6900000,120.1000000,82681435
SPBEX.AAPL,D,20200905,000000,120.0700000,120.8700000,119.6900000,120.1000000,84909
SPBEX.AAPL,D,20200908,000000,121.0000000,124.0900000,112.2300000,113.0700000,55930544
SPBEX.AAPL,D,20200909,000000,113.0700000,119.7500000,110.5700000,116.9800000,41388567
SPBEX.AAPL,D,20200910,000000,116.9900000,120.6400000,112.5000000,113.6900000,38938899
SPBEX.AAPL,D,20200911,000000,113.7000000,116.3200000,110.0300000,112.1600000,34745575
SPBEX.AAPL,D,20200912,000000,112.1500000,112.1900000,111.7500000,111.9400000,57251
SPBEX.AAPL,D,20200914,000000,114.4600000,115.9700000,112.8100000,115.6900000,30186307
SPBEX.AAPL,D,20200915,000000,115.6500000,118.8800000,113.6100000,115.3300000,32097417
SPBEX.AAPL,D,20200916,000000,115.3300000,116.5000000,112.0000000,112.5500000,32303854
SPBEX.AAPL,D,20200917,000000,112.5400000,112.8000000,101.3900000,110.2500000,39437523
SPBEX.AAPL,D,20200918,000000,110.2500000,111.7800000,106.1000000,107.0100000,87558703
SPBEX.AAPL,D,20200919,000000,107.0100000,107.0500000,106.8000000,106.9200000,44125
SPBEX.AAPL,D,20200921,000000,106.8100000,110.6900000,103.1000000,110.0500000,37319083
SPBEX.AAPL,D,20200922,000000,110.1800000,112.8700000,108.3900000,111.5500000,32825027
SPBEX.AAPL,D,20200923,000000,111.5100000,112.5500000,106.7700000,106.8300000,36498708
SPBEX.AAPL,D,20200924,000000,106.8500000,110.2400000,104.8100000,108.7000000,33197900
SPBEX.AAPL,D,20200925,000000,108.6800000,112.5700000,107.2500000,112.4900000,28896315
SPBEX.AAPL,D,20200926,000000,112.4700000,112.5100000,111.6000000,111.8400000,57111
SPBEX.AAPL,D,20200928,000000,114.0100000,115.5000000,112.7900000,115.2000000,29171595
SPBEX.AAPL,D,20200929,000000,115.1800000,115.6900000,113.5700000,114.1200000,16532300
SPBEX.AAPL,D,20200930,000000,114.1000000,117.2400000,111.1100000,115.4500000,34143052
SPBEX.AAPL,D,20201001,000000,115.4400000,118.1000000,115.3300000,116.7900000,23433524
SPBEX.AAPL,D,20201002,000000,116.7900000,117.1000000,110.5000000,113.2000000,29863688
SPBEX.AAPL,D,20201003,000000,113.2000000,113.2000000,112.3200000,112.5300000,109447
SPBEX.AAPL,D,20201005,000000,113.8200000,116.6500000,113.5000000,116.3800000,21204382
SPBEX.AAPL,D,20201006,000000,116.4000000,116.5900000,112.2500000,112.5000000,29533287
SPBEX.AAPL,D,20201007,000000,112.4500000,115.4700000,112.4500000,114.9600000,19167454
SPBEX.AAPL,D,20201008,000000,114.9900000,116.5000000,114.6000000,115.1000000,16014892
SPBEX.AAPL,D,20201009,000000,115.1000000,117.5400000,114.9200000,117.4700000,21934000
SPBEX.AAPL,D,20201010,000000,117.4900000,117.9200000,117.2600000,117.8400000,62274
SPBEX.AAPL,D,20201012,000000,118.3600000,125.1800000,116.9900000,124.5400000,43503163
SPBEX.AAPL,D,20201013,000000,124.5400000,127.6500000,119.6900000,120.8200000,44906666
SPBEX.AAPL,D,20201014,000000,120.8500000,123.0300000,119.6200000,120.7900000,26532834
SPBEX.AAPL,D,20201015,000000,120.7800000,121.2000000,117.0600000,120.6800000,20993285
SPBEX.AAPL,D,20201016,000000,120.6500000,122.1000000,118.7300000,118.9100000,24101193
SPBEX.AAPL,D,20201017,000000,118.9100000,119.0000000,118.9000000,118.9700000,20711
SPBEX.AAPL,D,20201019,000000,120.0300000,121.0000000,115.6600000,116.7200000,24844438
SPBEX.AAPL,D,20201020,000000,116.7300000,118.9800000,115.6300000,117.2000000,20422407
SPBEX.AAPL,D,20201021,000000,117.1500000,118.7000000,116.4500000,116.9100000,20036550
SPBEX.AAPL,D,20201022,000000,116.9800000,118.0400000,114.5900000,115.8200000,21048602
SPBEX.AAPL,D,20201023,000000,115.8200000,119.1900000,114.2900000,115.0100000,15612133
SPBEX.AAPL,D,20201024,000000,115.0100000,115.2900000,115.0000000,115.1400000,34838
SPBEX.AAPL,D,20201026,000000,114.3000000,116.5400000,112.8800000,115.2000000,23548728
SPBEX.AAPL,D,20201027,000000,115.1500000,117.2800000,114.3000000,116.1200000,18357003
SPBEX.AAPL,D,20201028,000000,116.1200000,117.0000000,111.1300000,111.7300000,32980775
SPBEX.AAPL,D,20201029,000000,111.7300000,116.9200000,109.2000000,109.9700000,32604871
SPBEX.AAPL,D,20201030,000000,109.9100000,111.9800000,107.2000000,109.0700000,42057066
SPBEX.AAPL,D,20201031,000000,109.0700000,109.0700000,108.5000000,108.8300000,24827
SPBEX.AAPL,D,20201103,000000,109.2000000,111.4600000,108.7300000,110.3800000,17520293
SPBEX.AAPL,D,20201104,000000,110.3800000,115.5800000,110.0800000,114.9400000,30341444
SPBEX.AAPL,D,20201105,000000,114.9400000,119.6200000,114.8800000,118.9900000,28459021
SPBEX.AAPL,D,20201106,000000,119.0300000,119.3000000,115.0800000,118.6900000,24845528
SPBEX.AAPL,D,20201107,000000,118.6800000,118.7000000,118.4000000,118.5600000,6427078
SPBEX.AAPL,D,20201109,000000,121.0000000,124.8000000,116.0500000,116.3200000,29502051
SPBEX.AAPL,D,20201110,000000,116.3200000,118.1900000,114.1300000,115.9700000,30034443
SPBEX.AAPL,D,20201111,000000,115.9700000,119.6200000,115.9500000,119.5100000,22612222
SPBEX.AAPL,D,20201112,000000,119.4900000,120.5200000,118.5000000,119.2400000,22266128
SPBEX.AAPL,D,20201113,000000,119.2100000,120.1500000,117.8800000,119.2400000,17968839
SPBEX.AAPL,D,20201114,000000,119.2600000,119.4000000,119.1100000,119.1800000,4730761
SPBEX.AAPL,D,20201116,000000,120.6400000,121.3900000,118.1000000,120.3400000,16023067
SPBEX.AAPL,D,20201117,000000,120.3400000,120.7500000,118.9600000,119.4200000,14256732
SPBEX.AAPL,D,20201118,000000,119.3600000,120.0000000,118.0000000,118.0100000,1703911
SPBEX.AAPL,D,20201119,000000,118.0000000,118.9600000,116.8100000,118.6600000,6821059
SPBEX.AAPL,D,20201120,000000,118.6400000,118.9600000,117.8400000,118.3600000,5079901
SPBEX.AAPL,D,20201123,000000,117.3300000,118.3000000,113.7600000,113.8500000,2208116
SPBEX.AAPL,D,20201124,000000,113.9600000,115.8400000,112.6100000,115.1900000,2191957
SPBEX.AAPL,D,20201125,000000,115.1700000,116.7500000,114.8000000,116.0300000,9887538
SPBEX.AAPL,D,20201126,000000,116.0300000,116.4100000,116.0100000,116.1600000,4161562
SPBEX.AAPL,D,20201127,000000,115.8000000,117.4800000,115.6000000,116.4500000,1058452
